search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
living in seattle as a student,/watch?v=etRZCmYa1bw&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,187K,2 years,"check out SigmaOS https://go.sigmaos.com/dobochobo a week of settling in, trying to get back into the groove of college life, ...",2026-01-22 03:25:11.341537
living in seattle as a student,/shorts/nPLrIWqmVXA,/@RachelWaldorf,Rachel Waldorf,Is Seattle the right city for you?,122K,3 years,... pros and cons of living in Seattle? New video is up! check it out: https://www.youtube.com/watch?v=xZiHkPLMis8&t=2s #seattle ...,2026-01-22 03:25:11.342936
living in seattle as a student,/watch?v=eArtrDFSF24&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,59K,4 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2026-01-22 03:25:11.344710
living in seattle as a student,/watch?v=cIIU0oN76DE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@heyytheresmile,heyytheresmile,apartment hunting in seattle | touring 7 studios with rent prices and tips!,49K,2 years,"... 24 year old currently working and living in seattle - i love posting all content related to food, traveling, and little tokens of wisdom ...",2026-01-22 03:25:11.345975
living in seattle as a student,/watch?v=piGDJu1aBkg&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@uwdeohs,UW DEOHS,The Husky Experience: Living in Seattle,619,5 years,"What is it like to be a graduate student living in Seattle? Our DEOHS students love Seattle's neighborhoods, free public ...",2026-01-22 03:25:11.347867
living in seattle as a student,/shorts/vz75ESb1bUg,/@vmhometeamwa,VM Home Team | WA Real Estate,The TRUE Cost of Living in Seattle REVEALED! #livinginseattle,7.6K,2 years,WATCH ENTIRE VIDEO HERE: https://youtu.be/WODkMsiXX1s ⭐️ BOOK A BUYER/SELLER CONSULTATION: ...,2026-01-22 03:25:18.621942
living in seattle as a student,/shorts/RWPyYBiXuDA,/@DavidCGreenfield,David Greenfield,Can You Afford to Live in Seattle?! #washington #seattle #costofliving #states #finance,4.9K,2 years,"Can You Afford to Live and Save In Seattle, Washington?! In this video, we discuss the amount you need to make to live ...",2026-01-22 03:25:18.629472
living in seattle as a student,/shorts/YUeW12uB_9g,/@Tips-For-Students,Tips For Students,Pros & Cons of the University of Washington,5.6K,1 year,"Thinking about the University of Washington? Here's a quick look at what you should know! Discover the beautiful campus, lively ...",2026-01-22 03:25:18.630830
living in seattle as a student,/watch?v=cnn4MZZ5H_A&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,26K,1 year,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-01-22 03:25:18.632391
living in seattle as a student,/watch?v=I5ooXW6r-x0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Seattle COST of Living in 2025 | Everything You Need to Know About Living in Seattle WA,1K,10 months,"Thinking about moving to Seattle? In this video, I break down the Seattle cost of living, including rent prices, home prices, utilities, ...",2026-01-22 03:25:18.634460
living in seattle as a student,/shorts/XVdokqx8yi4,/@ThachNguyen,Thach Nguyen,How Much A 275 sqft. Micro Apartment Rents For In Seattle 🏢,16K,2 years,How much the 275 ft apartment rent for in Seattle in this micro apartment the typical Studio size range from 250 ft to 300 Square ft ...,2026-01-22 03:25:18.635716
living in seattle as a student,/watch?v=OGwa-ROrGtY&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@komonews,KOMO News,Seattle schools have students shelter in place after reports of possible ICE activity,4.1K,1 day,Several Seattle public schools enacted shelter-in-place protocols Tuesday after receiving unconfirmed reports of possible ...,2026-01-22 03:25:18.637038
living in seattle as a student,/watch?v=PCIf2QyLw98&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@LivingInSeattlePNW,Living in Seattle Washington PNW,WHY Seattle? 5 UNEXPECTED reasons to make the move! | Moving to Seattle WA | Seattle WA Real Estate,10K,1 year,Are you thinking about moving to Seattle Washington? Let's explore Seattle Washington today and check out these Seattle facts!,2026-01-22 03:25:18.639122
living in seattle as a student,/watch?v=EiN0GTHPUq0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,2025 Pros and Cons of Living In Seattle,26K,1 year,"In this video, I am going over some of the top pros and cons of living in the Seattle area. If you're thinking of moving to Seattle, ...",2026-01-22 03:25:18.640406
living in seattle as a student,/watch?v=Mnz9LWLyEr0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@AshleyBProperties,Living In Washington State,Living in Seattle: Pros and Cons You Need to Know,6.2K,1 year,Thinking about making the Emerald City your home? Join me as I break down the pros and cons of living in Seattle from my ...,2026-01-22 03:25:18.642314
living in seattle as a student,/watch?v=2KTMWL4fOjo&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@monicachurchrealtor,Monica Church Seattle Real Estate,Should You Move To Seattle? I Asked 3 Transplants About Their Experience,103K,4 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 03:25:18.643668
living in seattle as a student,/watch?v=OdqCdkaoPYE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@LivingInSeattle-DeveauxHomes,Living In Seattle - Sophia Deveaux,Most Popular Seattle WA Neighborhoods | Your Seattle Neighborhood Guide | Where To Live In Seattle,4.9K,10 months,"Thinking about moving to Seattle WA? In this video, I break down Seattle's most popular neighborhoods through a map guide, ...",2026-01-22 03:25:18.649519
living in seattle as a student,/watch?v=HmKKy0zD-uw&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 03:25:18.652369
living in seattle as a student,/watch?v=QVi775nK4K0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@ahomeinSeattle,a home in Seattle,why i live in seattle,31K,2 years,"If you are thinking about making a home in Seattle, shoot me a message at alexanderkeyes@ahomeinseattle.com, make an ...",2026-01-22 03:25:18.655390
living in seattle as a student,/shorts/x4dl9bA-ocQ,/@livinginseattlearea8586,Living In Seattle Area,What Fall & Winter Are Like in Seattle Washington - Living in Seattle,94K,4 years,One of the most common questions we get asked from people moving to Seattle Washington. Choosing the right neighborhood for ...,2026-01-22 03:25:18.658311
living in seattle as a student,/watch?v=Bz0JGAtNF9o&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@KellyLira,Kelly Lira,LIVING IN SEATTLE: One Year Later,97K,5 years,"It's been one year since we moved from California to Seattle! We found our first apartment, I got a new job, we got a dog, and now ...",2026-01-22 03:25:27.182412
living in seattle as a student,/watch?v=svro74-gsPQ&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@universityofwashington,UW (University of Washington),UW students move into campus housing during Husky Move-In week 2024,4.5K,1 year,Mild fall temperatures this week helped welcome the first group of students who moved into University of Washington residence ...,2026-01-22 03:25:27.185114
living in seattle as a student,/watch?v=kw1rjpDqCbA&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@TimothyJoo,Tim Joo,Balancing Work & Life as a Grad Student living in Seattle | first week of spring quarter! 🌸,242,8 months,HI FRIENDS! welcome to a hectic week in my life as I navigate both work and life :') come join me on my journey! if ur reading ...,2026-01-22 03:25:27.188380
living in seattle as a student,/watch?v=sOGU0jgZKjg&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@chelseakaywright,Chelsea Kay Wright,"things you should know about before moving to Seattle| the good, the bad and the ugly, Q&A",17K,2 years,"Whether you're moving here for a summer or making the next step, here's you're guide to living in Seattle and what life here has ...",2026-01-22 03:25:27.190375
living in seattle as a student,/watch?v=A299qy6FBj4&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@fox13seattle,FOX 13 Seattle,"UW, Seattle U students back on campus",1.1K,3 years,Students at the University of Washington and Seattle University will return to campus on Monday. Subscribe to FOX 13 Seattle: ...,2026-01-22 03:25:27.191801
living in seattle as a student,/watch?v=lbrsePtzNe0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why Are People STILL Moving To Seattle?,12K,8 months,"Is moving to Seattle something in your plans in the near future? In this video, I am going over the top 5 reasons why all of my ...",2026-01-22 03:25:27.193667
living in seattle as a student,/watch?v=QWrKE-1Liko&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@BrielleJuliet,Brielle Juliet,"APARTMENT HUNTING in SEATTLE, WA | apartment tours, prices, pros and cons",26K,1 year,"welcome to an apartment hunting in seattle video! come along for my seattle apartment hunt including empty apartment tours, ...",2026-01-22 03:25:27.195240
living in seattle as a student,/watch?v=dARQYxOoJ74&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@USHistorians,US Historians,8 Best Places to Live in Seattle  - Seattle Washington,25K,2 years,"Living in Seattle - Best Places to Live in Seattle - Seattle Washington Seattle is renowned for its stunning natural beauty, thriving ...",2026-01-22 03:25:27.198684
living in seattle as a student,/watch?v=SgFdTaV1_04&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@TaylorQuynh,Taylor Quynh,How I Got Into UW Seattle as an Out of State Student: High School Stats + Application,23K,4 years,I applied to UW in 2019 as an out of state student. I grew up in Seattle so UW was my dream school and I am so happy here!,2026-01-22 03:25:27.200649
living in seattle as a student,/watch?v=xLJI-6T-yDE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@nnxwang,Nina Wang,Moving to Seattle for My Microsoft Internship!,70K,3 years,insta ➭ https://www.instagram.com/nnxwang tiktok ➭ https://www.tiktok.com/@ninaawang4 M U S I C Epidemic Sound. Try it for ...,2026-01-22 03:25:27.201917
living in seattle as a student,/watch?v=Y3hy5Ws3lU0&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@heyitstiffanychen,Tiffany Chen,Seattle Apartment Hunting with $1300 Budget | Starting Fresh & Exploring the City,115K,3 months,"I just moved to Seattle, and this vlog captures my first week settling into a brand new city. From apartment hunting to discovering ...",2026-01-22 03:25:27.203213
living in seattle as a student,/watch?v=_-YCmYCmS4I&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@heyytheresmile,heyytheresmile,a 450 sq ft studio apartment tour | what $1700 gets you in Seattle,266K,1 year,IF YOU'RE NEW HERE: hi i'm elane! i'm a 24 year old currently working and living in seattle - i love posting all content related to ...,2026-01-22 03:25:27.205475
living in seattle as a student,/watch?v=VMelHbe-OBM&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"Living in Seattle, The PROS & CONS",49K,2 years,"Living in Seattle, The PROS & CONS of 2023 If you're thinking about moving to Seattle or the surrounding suburbs, these are ...",2026-01-22 03:25:27.207492
living in seattle as a student,/watch?v=saYhnVmv2mU&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Dark Side Of Seattle - 9 Things You Must Know Before Moving,8.3K,7 months,Looking to make a move to Seattle? These are 9 downsides about living in the Seattle area that you should know first. Thinking ...,2026-01-22 03:25:27.209778
living in seattle as a student,/watch?v=jDkck-kxARI&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why People Hate Living In Seattle,65K,1 year,"If you watch many of my videos here on Youtube, you likely see many comments from people that have a lot of negative things to ...",2026-01-22 03:25:27.211838
living in seattle as a student,/watch?v=vK1AQq2Oaag&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW500gcJCYcKAYcqIYzv,/@LivinginSeattleWashington,Living in Seattle Washington,"Don't Move to Seattle,Washington Unless You Can Handle These 6 Things!",179K,2 years,"Are you thinking of moving and buying a house in Seattle, Washington? This video Tova talks about the 6 reasons on WHY ...",2026-01-22 03:25:27.213172
living in seattle as a student,/watch?v=hG4BCBFv2r8&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@victoriazdanewicz1740,Victoria Zdanewicz,UW Seattle Through My Eyes: 2nd year bio student living in a sorority house 💋🏙👩🏼‍🔬,1.1K,3 years,Welcome to UW's campus! I hope you enjoyed seeing some of my favorite study spots and sunny spots!!! My days here are always ...,2026-01-22 03:25:27.214449
living in seattle as a student,/watch?v=uO61xh1yUJk&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@LivingInwesternwashington,Living in Western Washington,Living in West Seattle WA | PROS and CONS You MUST Know Before Moving,1.4K,7 months,"Thinking of relocating to Seattle and wondering if West Seattle is the right neighborhood for you? In this video, we break down the ...",2026-01-22 03:25:35.692755
living in seattle as a student,/watch?v=LESLxwZGfoE&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@Salome-MB,Salome,Seattle Apartment Tour + Apartment Hunting Tips,1.7K,3 months,"I feel like it's difficult to find an apartment in a city like Seattle, but it's not impossible. In this video, I go over some tips on how I ...",2026-01-22 03:25:35.695099
living in seattle as a student,/watch?v=BvISoFbXMRI&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@fox13seattle,FOX 13 Seattle,Mob of students chases person accused of Nazi salute at UW | FOX 13 Seattle,77K,3 months,"University of Washington police arrested an individual Wednesday after they allegedly entered a classroom, made a Nazi salute, ...",2026-01-22 03:25:35.695783
living in seattle as a student,/watch?v=myyN7bnQ_xQ&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@CBSMornings,CBS Mornings,Seattle students barred from going to school until they're vaccinated,32K,6 years,Thousands of students in Seattle have 10 days to get vaccinated or they will not be allowed to go to school. This comes after ...,2026-01-22 03:25:35.696447
living in seattle as a student,/watch?v=BYhvVAtyIU4&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@livinginseattlewashington206,Living in Seattle Washington ,7 MOST AFFORDABLE SUBURBS NEAR SEATTLE WA [PLACES YOU ACTUALLY WANT TO LIVE IN SEATTLE WA],11K,2 years,"Are you thinking of relocating somewhere in Seattle Wa? In this video, we'll explore some fantastic options for those considering a ...",2026-01-22 03:25:35.698790
living in seattle as a student,/watch?v=9yMbuBxFrYw&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@KING5Seattle,KING 5 Seattle,Seattle students walk out over changing lunch periods,4.6K,4 months,Students say moving from one lunch to two will impact club participation and make it harder to receive help from teachers.,2026-01-22 03:25:35.699443
living in seattle as a student,/shorts/ElitGIFQyBA,/@traveleats2195,Travel Eats,I haven’t seen snow since living in Seattle for undergrad omg #snowing #socal #wow #omg #cold #storm,900,6 months,I haven't seen snow since living in Seattle for undergrad omg #snowing #socal #wow #omg #cold #storm #socalstorm ...,2026-01-22 03:25:35.700788
living in seattle as a student,/watch?v=MVSdOIH4u08&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@BastyrUniversity,Bastyr University,Living in the Bastyr Student Village - LEED Platinum Video (Part 2 of 3),5.4K,15 years,"Bastyr University's Platinum LEED informational/instructional video for the new student housing project. Part 2: Building materials, ...",2026-01-22 03:25:35.701686
living in seattle as a student,/watch?v=pEBUu7ORK9Q&pp=ygUebGl2aW5nIGluIHNlYXR0bGUgYXMgYSBzdHVkZW50,/@KING5Seattle,KING 5 Seattle,No students means no business for Seattle's University District,14K,5 years,"With University of Washington classes going mostly online for the fall, restaurants and shops are bracing for a slowdown far worse ...",2026-01-22 03:25:35.703612
